	Common Settings,	
	.Source/Sweep Points,	21
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	500 ms
	.NPLC,	25
	.,	
	..Instrument,	My 2634B
	...Model,	2634B
	...Serial Number,	4429128
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	0
	...Stop,	5
	...Step,	0.25
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	SMU-2
	..Instrument,	My 2634B
	...Model,	2634B
	...Serial Number,	4429128
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	-5
	...Stop,	5
	...Step,	0.5
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","SMU-2 Time (s)","SMU-2 Voltage (V)","SMU-2 Current (A)"
"1","0","-5.00158309936523","2.75325769127921E-12"
"2","0.505044","-4.50152635574341","1.58896437674194E-11"
"3","1.010088","-4.00151491165161","2.20128290595589E-11"
"4","1.515132","-3.50143671035767","2.58287176368999E-11"
"5","2.020176","-3.00134658813477","2.09275478890714E-11"
"6","2.52522","-2.50125408172607","1.62236682421657E-11"
"7","3.030264","-2.00025153160095","1.99325087685276E-11"
"8","3.535308","-1.50026845932007","2.54013528960817E-11"
"9","4.040352","-1.00021910667419","2.34919774605435E-11"
"10","4.545396","-0.500163316726685","1.72998906866617E-11"
"11","5.05044","-7.82012921263231E-06","1.76364183673838E-11"
"12","5.555484","0.50005030632019","2.46478306514808E-11"
"13","6.060528","1.00014019012451","2.43269206862129E-11"
"14","6.565572","1.50014781951904","1.90417768358708E-11"
"15","7.070615","2.00015926361084","1.65559042170083E-11"
"16","7.575659","2.50020742416382","2.22959515433496E-11"
"17","8.080702","3.00037622451782","2.70901912013954E-11"
"18","8.585746","3.50053071975708","2.16158618782103E-11"
"19","9.09079","4.00037288665771","1.55211676844402E-11"
"20","9.595834","4.50046539306641","1.9130945091983E-11"
"21","10.100878","5.00062942504883","2.54672758576158E-11"

"Min","0","-5.00158309936523","2.75325769127921E-12"
"Max","10.100878","5.00062942504883","2.70901912013954E-11"
"Mean","5.05043942857143","-0.000309158506838901","2.01472208625314E-11"
"StdDev","3.1337148912505","3.1031468390291","5.40023476220285E-12"
"CV","62.0483610499792%","-1003739.75497498%","26.8038693726035%"
